run,algorithm,iteration,front_size,hypervolume,hypervolume_ratio
1,NSGA-II,720,29,0.506841,0.380797
1,NSGA-II,760,22,0.538765,0.404782
1,NSGA-II,800,21,0.563629,0.423463
1,NSGA-II,840,28,0.577140,0.433614
1,NSGA-II,880,31,0.577218,0.433672
1,NSGA-II,920,32,0.577944,0.434218
1,NSGA-II,960,36,0.595918,0.447722
1,NSGA-II,1000,37,0.636782,0.478424
1,NSGA-II,1040,35,0.643842,0.483728
1,NSGA-II,1080,38,0.678479,0.509751
1,NSGA-II,1120,33,0.692562,0.520332
1,NSGA-II,1160,38,0.696570,0.523343
1,NSGA-II,1200,43,0.697781,0.524253
1,NSGA-II,1240,46,0.725144,0.544811
1,NSGA-II,1280,44,0.726873,0.546111
1,NSGA-II,1320,29,0.740751,0.556537
1,NSGA-II,1360,31,0.752443,0.565321
1,NSGA-II,1400,35,0.792721,0.595583
1,NSGA-II,1440,30,0.798491,0.599918
1,NSGA-II,1480,27,0.817278,0.614033
1,NSGA-II,1520,27,0.817329,0.614071
1,NSGA-II,1560,34,0.825458,0.620179
1,NSGA-II,1600,32,0.825639,0.620315
1,NSGA-II,1640,36,0.842532,0.633007
1,NSGA-II,1680,38,0.842537,0.633010
1,NSGA-II,1720,37,0.850386,0.638908
1,NSGA-II,1760,39,0.850532,0.639017
1,NSGA-II,1800,39,0.851046,0.639404
1,NSGA-II,1840,27,0.854583,0.642061
1,NSGA-II,1880,26,0.869004,0.652896
1,NSGA-II,1920,28,0.869326,0.653138
1,NSGA-II,1960,30,0.869589,0.653335
1,NSGA-II,2000,31,0.869593,0.653338
1,NSGA-III,40,21,0.020981,0.015764
1,NSGA-III,80,22,0.077093,0.057921
1,NSGA-III,120,18,0.172645,0.129711
1,NSGA-III,160,20,0.228254,0.171491
1,NSGA-III,200,25,0.256579,0.192772
1,NSGA-III,240,16,0.334068,0.250990
1,NSGA-III,280,14,0.417951,0.314013
1,NSGA-III,320,19,0.470611,0.353577
1,NSGA-III,360,10,0.510018,0.383184
1,NSGA-III,400,17,0.517720,0.388971
1,NSGA-III,440,22,0.518493,0.389551
1,NSGA-III,480,19,0.560656,0.421229
1,NSGA-III,520,11,0.634173,0.476463
1,NSGA-III,560,9,0.634187,0.476474
1,NSGA-III,600,11,0.653411,0.490917
1,NSGA-III,640,10,0.654515,0.491747
1,NSGA-III,680,11,0.663672,0.498627
1,NSGA-III,720,7,0.759697,0.570771
1,NSGA-III,760,11,0.771988,0.580006
1,NSGA-III,800,14,0.773754,0.581333
1,NSGA-III,840,11,0.899366,0.675707
1,NSGA-III,880,2,0.996472,0.748664
1,NSGA-III,920,3,1.074117,0.807000
1,NSGA-III,960,4,1.074136,0.807014
1,NSGA-III,1000,4,1.074388,0.807204
1,NSGA-III,1040,4,1.074388,0.807204
1,NSGA-III,1080,6,1.075908,0.808345
1,NSGA-III,1120,6,1.076400,0.808716
1,NSGA-III,1160,6,1.076587,0.808855
1,NSGA-III,1200,7,1.093279,0.821397
1,NSGA-III,1240,10,1.093301,0.821413
1,NSGA-III,1280,12,1.096195,0.823588
1,NSGA-III,1320,11,1.132414,0.850799
1,NSGA-III,1360,13,1.132490,0.850856
1,NSGA-III,1400,15,1.140600,0.856950
1,NSGA-III,1440,12,1.151861,0.865411
1,NSGA-III,1480,14,1.151862,0.865411
1,NSGA-III,1520,17,1.156852,0.869160
1,NSGA-III,1560,16,1.156974,0.869252
1,NSGA-III,1600,13,1.179398,0.886099
1,NSGA-III,1640,12,1.179419,0.886115
1,NSGA-III,1680,13,1.179433,0.886125
1,NSGA-III,1720,13,1.179603,0.886254
1,NSGA-III,1760,11,1.179630,0.886274
1,NSGA-III,1800,12,1.180074,0.886607
1,NSGA-III,1840,11,1.180621,0.887018
1,NSGA-III,1880,11,1.180621,0.887018
1,NSGA-III,1920,14,1.180625,0.887021
1,NSGA-III,1960,10,1.181003,0.887305
1,NSGA-III,2000,11,1.181010,0.887310
2,MOGWO,40,32,0.000000,0.000000
2,MOGWO,80,31,0.000000,0.000000
2,MOGWO,120,40,0.000000,0.000000
2,MOGWO,160,40,0.000000,0.000000
2,MOGWO,200,40,0.000000,0.000000
2,MOGWO,240,46,0.000000,0.000000
2,MOGWO,280,42,0.000000,0.000000
2,MOGWO,320,41,0.000000,0.000000
2,MOGWO,360,40,0.000000,0.000000
2,MOGWO,400,38,0.000000,0.000000
2,MOGWO,440,39,0.000000,0.000000
2,MOGWO,480,41,0.000000,0.000000
2,MOGWO,520,53,0.000000,0.000000
2,MOGWO,560,58,0.001458,0.001095
2,MOGWO,600,62,0.004500,0.003381
2,MOGWO,640,54,0.004500,0.003381
2,MOGWO,680,55,0.006610,0.004966
2,MOGWO,720,57,0.012742,0.009573
2,MOGWO,760,43,0.027676,0.020794
2,MOGWO,800,37,0.033427,0.025114
2,MOGWO,840,58,0.053457,0.040163
2,MOGWO,880,68,0.056791,0.042668
2,MOGWO,920,84,0.064931,0.048783
2,MOGWO,960,55,0.095428,0.071696
2,MOGWO,1000,68,0.110420,0.082960
2,MOGWO,1040,79,0.115109,0.086483
2,MOGWO,1080,52,0.151929,0.114146
2,MOGWO,1120,60,0.166486,0.125083
2,MOGWO,1160,65,0.168883,0.126884
2,MOGWO,1200,65,0.176239,0.132411
2,MOGWO,1240,67,0.186901,0.140422
2,MOGWO,1280,71,0.195615,0.146968
2,MOGWO,1320,87,0.197854,0.148650
2,MOGWO,1360,96,0.200703,0.150791
2,MOGWO,1400,80,0.207455,0.155864
2,MOGWO,1440,89,0.214145,0.160890
2,MOGWO,1480,93,0.215864,0.162182
2,MOGWO,1520,83,0.216194,0.162430
2,MOGWO,1560,81,0.220033,0.165314
2,MOGWO,1600,80,0.237796,0.178660
2,MOGWO,1640,86,0.247862,0.186223
2,MOGWO,1680,100,0.254119,0.190924
2,MOGWO,1720,79,0.258447,0.194175
2,MOGWO,1760,84,0.269065,0.202153
2,MOGWO,1800,98,0.269582,0.202541
2,MOGWO,1840,91,0.278042,0.208897
2,MOGWO,1880,91,0.278859,0.209511
2,MOGWO,1920,90,0.282540,0.212277
2,MOGWO,1960,100,0.284758,0.213943
2,MOGWO,2000,99,0.285289,0.214342
2,NSGA-II,40,40,0.002567,0.001929
2,NSGA-II,80,29,0.019762,0.014848
2,NSGA-II,120,47,0.042056,0.031597
2,NSGA-II,160,27,0.053196,0.039967
2,NSGA-II,200,26,0.063078,0.047391
